Date,Latitude Start,Longitude Start,Latitude Mid,Longitude Mid,Latitude Stop,Longitude Stop,Depth (m),SVY,Parameters,EOV Groups,source_file,program,mission,yr,platform,frequency_label
2015-05-11,34.425716,-120.491486,34.418247,-120.477943,34.410778,-120.464401,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-12,34.168472,-119.555107,34.160999,-119.541535,34.153526,-119.527962,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-12,33.862835,-119.430077,33.850185,-119.42479,33.837536,-119.419502,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-13,32.97102,-117.459244,32.9619255,-117.4473075,32.952831,-117.435371,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-13,32.765381,-117.403046,32.756737,-117.391262,32.748093,-117.379478,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-14,33.187893,-118.041519,33.190129,-118.057346,33.192364,-118.073174,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-14,33.513855,-118.931953,33.520454,-118.945835,33.527054,-118.959717,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-14,33.527367,-118.960365,33.534203,-118.974468,33.541039,-118.988571,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-15,33.909439,-120.685158,33.918121,-120.697601,33.926804,-120.710045,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-15,34.074856,-120.825127,34.0853045,-120.8145565,34.095753,-120.803986,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-15,34.094715,-120.619942,34.086712,-120.6067735,34.078709,-120.593605,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-15,34.078373,-120.593086,34.073859,-120.585685,34.069344,-120.578285,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-15,34.069511,-120.575783,34.059383,-120.586468,34.049255,-120.597153,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-16,34.460091,-120.542366,34.469412,-120.5544435,34.478733,-120.566521,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-16,34.47892,-120.566765,34.487982,-120.578686,34.497044,-120.590607,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-16,34.497417,-120.591095,34.506838,-120.602783,34.516258,-120.614471,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-16,34.516594,-120.614891,34.526497,-120.6260645,34.5364,-120.637238,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-16,34.639824,-120.672897,34.6532915,-120.674526,34.666759,-120.676155,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
